# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_445246	Chile/Puerto_Montt_1/2020	South America / Chile / Puerto Montt / 	2020-03-05	HOSPITAL PUERTO MONTT	Instituto de Salud Publica de Chile	Andrés E Castillo et al
EPI_ISL_417137	USA/WA-S84/2020	North America / USA / Washington / King County	2020-02-21	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_450410	HongKong/HKU-913a/2020	Asia / Hong Kong / Hong Kong / 	2020-01-31	unknown	Microbiology	To et al
EPI_ISL_421231	Hangzhou/HZCDC0049L/2020	Asia / China / Zhejiang / Hangzhou	2020-01-21	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
EPI_ISL_535717	Canada/QC-LSPQ-L00212401/2020	North America / Canada / Quebec / 	2020-03-01	Hôpital Honoré-Mercier	Laboratoire de santé publique du Québec	Sandrine Moreira et al
EPI_ISL_497953	SouthKorea/KCDC2032/2020	Asia / South Korea / South Korea / 	2020-02-20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_417424	Belgium/KA-03042/2020	Europe / Belgium / Turnhout / Kasterlee	2020-03-04	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carerras et al
EPI_ISL_479851	Japan/PG-0115/2020	Asia / Japan / Kanto / 	2020-02-17	Gunma Prefectural Institute of Public Health and Environmental Sciences	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_429854	Lishui/LS557/2020	Asia / China / Zhejiang / Lishui	2020-02-01	Centers for Disease Control and Prevention of Lishui	Department of Inspection，Centers for Disease Control and Prevention of Lishui	Wang Xiaoguang et al
EPI_ISL_425806	Scotland/CVR76/2020	Europe / United Kingdom / Scotland / 	2020-03-05	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	COVID-19 Genomics UK (COG-UK) Consortium	Ana da Silva Filipe et al
EPI_ISL_480048	Japan/PG-0378/2020	Asia / Japan / Chubu / 	2020-02-26	Nagoya City Public Health Research Institute	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_411953	Jiangsu/JS03/2020	Asia / China / Jiangsu / 	2020-01-24	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	Kangchen Zhao et al
EPI_ISL_479871	Japan/PG-0160/2020	Asia / Japan / Kanto / 	2020-02-25	Sagamihara City Public Health Research Institute	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_420553	India/UN-781/2020	Asia / India / India / 	2020-03-03	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav. Savita Patil et al
EPI_ISL_510547	SouthKorea/KCDC2203/2020	Asia / South Korea / South Korea / 	2020-02-26	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_417010	Spain/MD-ISCIII-201442/2020	Europe / Spain / Madrid / 	2020-03-04	FUNDACION JIMENEZ DIAZ	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_420785	USA/FL_6318/2020	North America / USA / Florida / 	2020-03-02	FL Bureau of Health Laboratories Tampa	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_455713	Vietnam/VNHN_148/2020	Asia / Vietnam / Red River Delta / Hanoi	2020-03-06	National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
EPI_ISL_414562	Netherlands/ZuidHolland_20/2020	Europe / Netherlands / South Holland / 	2020-03-03	Dutch COVID-19 response team	Erasmus Medical Center	David Nieuwenhuijse et al
EPI_ISL_414537	Netherlands/NoordBrabant_28/2020	Europe / Netherlands / North Brabant / 	2020-03-08	Dutch COVID-19 response team	Erasmus Medical Center	David Nieuwenhuijse et al
EPI_ISL_418989	Belgium/RT-030460/2020	Europe / Belgium / Brussels / Forest	2020-03-04	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
EPI_ISL_455845	Sweden/20-08179/2020	Europe / Sweden / Sormland / 	2020-03-08	Skovde/Unilabs	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_414009	England/200960515/2020	Europe / United Kingdom / England / 	2020-02-25	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_428476	Guangdong/20SF813/2020	Asia / China / Guangdong / Huizhou	2020-01-28	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	School of Public Health, The University of Hong Kong	Bosheng Li et al
EPI_ISL_417302	England/20110000706/2020	Europe / United Kingdom / England / 	2020-03-05	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_454912	Wuhan/HB-WH1-135/2020	Asia / China / Hubei / Wuhan	2020-02-25	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_435303	Vietnam/VNHN_022/2020	Asia / Vietnam / Red River Delta / Hanoi	2020-03-07	National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
EPI_ISL_426173	SouthKorea/KCDC2009/2020	Asia / South Korea / South Korea / 	2020-02-07	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_525581	USA/NY-Wadsworth-11509-01/2020	North America / USA / New York / 	2020-03-07	Wadsworth Center, New York State Department of Health	Wadsworth Center, New York State Department of Health	Kirsten St. George et al
EPI_ISL_414414	Australia/QLD09/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-29	Pathology Queensland	Public Health Virology Laboratory	Bixing Huang et al
EPI_ISL_408010	USA/CA5/2020	North America / USA / California / 	2020-01-29	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
EPI_ISL_468763	Spain/RI-IBV-h2286/2020	Europe / Spain / La Rioja / Logrono	2020-03-02	Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño	SeqCOVID-SPAIN consortium/IBV(CSIC)	María de Toro et al
EPI_ISL_497995	SouthKorea/KCDC2094/2020	Asia / South Korea / South Korea / 	2020-02-26	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_416428	Vietnam/39607/2020	Asia / Vietnam / Quangninh / 	2020-03-07	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Le Quynh Mai et al
EPI_ISL_455685	Zhejiang/CN5/2020	Asia / China / Zhejiang / 	2020-01-22	unknown	Department of Microbiology	Gao et al
EPI_ISL_479824	Japan/PG-0066/2020	Asia / Japan / Kyusyu / 	2020-02-15	Kumamoto PrefecturalInstituteof Public-Health and Environmental Science	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_454447	Sweden/20-08060/2020	Europe / Sweden / Gavleborgs Lan / 	2020-03-03	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_454890	Sweden/20-50220/2020	Europe / Sweden / Stockholm / 	2020-03-07	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_415128	Brazil/ES-225/2020	South America / Brazil / Espirito Santo / Vila Velha	2020-02-29	LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Paola Resende et al
EPI_ISL_435609	USA/CA-SCCPHD-UC130/2020	North America / USA / California / Santa Clara County	2020-03-06	Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
EPI_ISL_414643	Finland/FIN-508/2020	Europe / Finland / Finland / 	2020-03-07	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
EPI_ISL_412983	Tianmen/HBCDC-HB-07/2020	Asia / China / Hubei / Tianmen	2020-02-08	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
EPI_ISL_460095	Italy/LOM-INMI-9675/2020	Europe / Italy / Lombardy / 	2020-02-26	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Barbara Bartolini et al
EPI_ISL_414528	HongKong/VM20002507-2/2020	Asia / Hong Kong / Hong Kong / Hong Kong	2020-02-10	Hong Kong Department of Health	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
EPI_ISL_479817	Japan/PG-0054/2020	Asia / Japan / Hokkaido / 	2020-03-07	Hokkaido Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_493154	Wuhan/0125-A153/2020	Asia / China / Hubei / Wuhan	2020-01-25	National Virus Resource Center, Chinese Academy of Sciences, Wuhan 430071, China	Computational Virology Group, Center for Bacteria and Viruses Resources and Bioinformation, Wuhan Institute of Virology, Chinese Academy of Sciences，Wuhan 430071, China	Jianjun Chen et al
EPI_ISL_417338	France/Macon_06756/2020	Europe / France / Auvergne-Rhône-Alpes / 	2020-03-07	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
EPI_ISL_435121	UnitedArabEmirates/L0184/2020	Asia / United Arab Emirates / United Arab Emirates / 	2020-02-25	Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al
EPI_ISL_490012	SaudiArabia/677/2020	Asia / Saudi Arabia / Saudi Arabia / 	2020-03-01	King Fahad Medical City	King Fahad Medical City	Alosaimi et al
EPI_ISL_539500	Spain/AR-ISCIII-201435/2020	Europe / Spain / Aragon / 	2020-03-03	Hospital Clínico Universitario Lozano Blesa	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_417072	USA/WA-S19/2020	North America / USA / Washington / King County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_417017	Belgium/ULG-6638/2020	Europe / Belgium / Liège / 	2020-03-08	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith et al
EPI_ISL_413579	Netherlands/Nootdorp_1364222/2020	Europe / Netherlands / South Holland / Nootdorp	2020-03-03	MHC Haaglanden	Erasmus Medical Center	David Nieuwenhuijse et al
EPI_ISL_430133	USA/WA-S279/2020	North America / USA / Washington / King County	2020-03-04	Seattle Flu Study	Seattle Flu Study	Chu et al et al
EPI_ISL_454908	Wuhan/HB-WH1-127/2020	Asia / China / Hubei / Wuhan	2020-03-02	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_460087	Italy/LOM-INMI-9206/2020	Europe / Italy / Lombardy / 	2020-02-26	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al
EPI_ISL_413613	USA/CruiseA-8/2020	North America / USA / Diamond Princess / 	2020-02-17	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
EPI_ISL_497960	SouthKorea/KCDC2039/2020	Asia / South Korea / South Korea / 	2020-02-19	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_416756	France/Lyon_06531/2020	Europe / France / Auvergne-Rhône-Alpes / 	2020-03-06	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
EPI_ISL_424847	USA/MA_4811/2020	North America / USA / Massachusetts / 	2020-03-07	MA State Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
EPI_ISL_527917	Switzerland/BL-UHB-42167842/2020	Europe / Switzerland / Basel-Land / 	2020-02-26	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al
EPI_ISL_460371	USA/MA-MGH-00418/2020	North America / USA / Massachusetts / 	2020-03-07	Massachusetts General Hospital	Infectious Disease Program, Broad Institute of Harvard and MIT	Lemieux et al
EPI_ISL_451394	Sichuan/SC-WCH4-293/2020	Asia / China / Sichuan / 	2020-02-03	West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_481376	SouthKorea/KCDC2056/2020	Asia / South Korea / South Korea / 	2020-02-20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_413604	Finland/FIN03032020C/2020	Europe / Finland / Helsinki / 	2020-03-03	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
EPI_ISL_414630	France/HF1871/2020	Europe / France / Hauts de France / Compiègne	2020-03-03	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
EPI_ISL_418241	Algeria/G0638_2264/2020	Africa / Algeria / Boufarik / 	2020-03-02	NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
EPI_ISL_450209	Germany/BY-ChVir-1017/2020	Europe / Germany / Bavaria / 	2020-01-30	Department of Virology	Department of Virology	Boehmer et al
EPI_ISL_413928	USA/CA-CDPH-UC9/2020	North America / USA / Grand Princess / Grand Princess Cruise Ship	2020-03-05	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
EPI_ISL_480032	Japan/PG-0362/2020	Asia / Japan / Kanto / 	2020-02-21	Tochigi Prefectural Institute of Public Health and Environmental Science	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_414623	France/GE1583-2/2020	Europe / France / Grand Est / Strasbourg	2020-02-25	Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hôpitaux Universitaires de Strasbourg	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
EPI_ISL_414619	USA/WA-UW32/2020	North America / USA / Washington / 	2020-03-07	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
EPI_ISL_418249	Spain/CL-ISCIII-201372/2020	Europe / Spain / Castilla y Leon / 	2020-03-03	COMPLEJO ASISTENCIAL UNIVERSITARIO DE BURGOS	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_529216	Wuhan/IME-WH04/2020	Asia / China / Hubei / Wuhan	2019-12-30	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
EPI_ISL_449480	Wuhan/WHUH005/2020	Asia / China / Hubei / Wuhan	2020-01-22	unknown	Department of Respiratory and Critical Care	Wang et al
EPI_ISL_413600	Australia/NSW14/2020	Oceania / Australia / New South Wales / Sydney	2020-03-03	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall et al
EPI_ISL_421227	Hangzhou/HZCDC0091L/2020	Asia / China / Zhejiang / Hangzhou	2020-01-21	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
EPI_ISL_413596	Australia/NSW10/2020	Oceania / Australia / New South Wales / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al
EPI_ISL_539336	Hunan/HN-CIDC-P7/2020	Asia / China / Hunan / Shaoyang	2020-01-27	Institute of Disease Control and Prevention, People's Liberation Army	Institute of Disease Control and Prevention, People's Liberation Army	Qiu et al
EPI_ISL_424895	USA/IA_6396/2020	North America / USA / Iowa / 	2020-03-08	IA State Hygienic Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
EPI_ISL_490004	SaudiArabia/578/2020	Asia / Saudi Arabia / Saudi Arabia / 	2020-02-17	King Fahad Medical City	King Fahad Medical City	Alosaimi et al
EPI_ISL_429091	Guangzhou/GZMU0041/2020	Asia / China / Guangdong / Guangzhou	2020-02-08	The First Affiliated Hospital of Guangzhou Medical University	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Yanqun Wang et al
EPI_ISL_500100	England/LIVE-A4FC5/2020	Europe / United Kingdom / England / 	2020-03-06	Liverpool Clinical Laboratories	COVID-19 Genomics UK (COG-UK) Consortium	Sam Haldenby et al
EPI_ISL_497966	SouthKorea/KCDC2065/2020	Asia / South Korea / South Korea / 	2020-02-09	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_454465	Sweden/20-08093/2020	Europe / Sweden / Stockholm / 	2020-03-06	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_413609	USA/CruiseA-4/2020	North America / USA / Diamond Princess / 	2020-02-21	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
EPI_ISL_490008	SaudiArabia/627/2020	Asia / Saudi Arabia / Saudi Arabia / 	2020-02-23	King Fahad Medical City	King Fahad Medical City	Alosaimi et al
EPI_ISL_416750	France/Lyon_683/2020	Europe / France / Auvergne-Rhône-Alpes / 	2020-03-06	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
EPI_ISL_417426	Belgium/SQ-03043/2020	Europe / Belgium / Leuven / 	2020-03-04	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carerras et al
EPI_ISL_407071	England/01/2020	Europe / United Kingdom / England / 	2020-01-29	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_416331	Shanghai/SH0022/2020	Asia / China / Shanghai / 	2020-01-30	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_455463	Jiujiang/JX490/2020	Asia / China / Jiangxi / Jiujiang	2020-02-03	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
EPI_ISL_417299	England/20109099206/2020	Europe / United Kingdom / England / 	2020-03-08	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_415660	Chile/Santiago_op3d1/2020	South America / Chile / Santiago / 	2020-03-07	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Rafael A. Medina et al
EPI_ISL_417085	USA/WA-S32/2020	North America / USA / Washington / Snohomish County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_539531	Spain/CN-ISCIII-201048/2020	Europe / Spain / Canary Islands / 	2020-02-24	C.H.U Nuestra Señora de Candelaria	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_538436	Singapore/913/2020	Asia / Singapore / Singapore / 	2020-02-20	Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
EPI_ISL_417114	USA/WA-S61/2020	North America / USA / Washington / King County	2020-03-05	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_523199	Netherlands/GE-EMC-217/2020	Europe / Netherlands / Gelderland / 	2020-03-05	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
EPI_ISL_464199	England/20099000304/2020	Europe / United Kingdom / England / 	2020-02-28	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
EPI_ISL_419224	HongKong/HKPU52-3101/2020	Asia / Hong Kong / Hong Kong / Hong Kong	2020-02-13	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al
EPI_ISL_500401	Spain/RI-IBV-005967/2020	Europe / Spain / La Rioja / Logrono	2020-03-07	Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño	SeqCOVID-SPAIN consortium/IBV(CSIC)	María de Toro et al
EPI_ISL_437623	Thailand/SI200040-NT/2020	Asia / Thailand / Thailand / 	2020-01-08	unknown	Faculty of Medicine	Rodpan et al
EPI_ISL_416377	Shanghai/SH0074/2020	Asia / China / Shanghai / 	2020-02-07	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_460085	Italy/LOM-INMI-13221/2020	Europe / Italy / Lombardy / 	2020-03-01	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al
EPI_ISL_539339	Hunan/HN-CIDC-P11/2020	Asia / China / Hunan / Shaoyang	2020-01-29	Institute of Disease Control and Prevention, People's Liberation Army	Institute of Disease Control and Prevention, People's Liberation Army	Qiu et al
EPI_ISL_457796	USA/DC-HP00052/2020	North America / USA / Washington DC / 	2020-03-07	Johns Hopkins Hospital Department of Pathology	Johns Hopkins Hospital Department of Pathology	Peter M. Thielen et al
EPI_ISL_539503	Spain/AR-ISCIII-201596/2020	Europe / Spain / Aragon / 	2020-03-06	Hospital Universitario Miguel Servet	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_452128	USA/CO-CDC-5667/2020	North America / USA / Colorado / 	2020-03-08	CO Department of Public Health and Environment	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al
EPI_ISL_455876	Sweden/20-50219/2020	Europe / Sweden / Stockholm / 	2020-03-06	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_418509	Hangzhou/HZ178/2020	Asia / China / Zhejiang / Hangzhou	2020-01-23	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
EPI_ISL_527873	Nigeria/ED01-CV155/2020	Africa / Nigeria / Edo / 	2020-02-21	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al et al
EPI_ISL_424881	USA/PA_1802/2020	North America / USA / Pennsylvania / 	2020-03-05	PA Department of Health, Bureau of Laboratories	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
EPI_ISL_435596	USA/CA-SCCPHD-UC117/2020	North America / USA / California / Santa Clara County	2020-03-04	Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
EPI_ISL_424667	Mexico/CMX-InDRE_03/2020	North America / Mexico / Estado de Mexico / 	2020-03-04	Laboratorio Estatal de Salud Publica del Estado de México	Instituto de Diagnóstico y Referencia Epidemiológicos	Irma López Martínez et al
EPI_ISL_402119	Wuhan/IVDC-HB-01/2019	Asia / China / Hubei / Wuhan	2019-12-30	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al
EPI_ISL_420799	SouthKorea/BA-ACH_2604/2020	Asia / South Korea / South Korea / 	2020-02-27	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_416035	Brazil/SP-13/2020	South America / Brazil / São Paulo / São Paulo	2020-03-05	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
EPI_ISL_420315	Belgium/RYR-030649/2020	Europe / Belgium / Huy / Yernée-Fraineux	2020-03-06	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras et al
EPI_ISL_412973	Italy/LOM-ASST-CDG1/2020	Europe / Italy / Lombardy / 	2020-02-20	Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy	Virology Laboratory, Scientific Department, Army Medical Center	Paola Stefanelli et al
EPI_ISL_412968	Japan/Hu_DP_Kng_19-020/2020	Asia / Japan / Kanagawa / 	2020-02-10	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health	Hishiki et al
EPI_ISL_414591	USA/WA-UW22/2020	North America / USA / Washington / King County	2020-03-06	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
EPI_ISL_412869	SouthKorea/KCDC05/2020	Asia / South Korea / Seoul / Seoul	2020-01-30	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_525580	USA/NY-Wadsworth-11244-01/2020	North America / USA / New York / 	2020-03-06	Wadsworth Center, New York State Department of Health	Wadsworth Center, New York State Department of Health	Kirsten St. George et al
